SourceBus,-300,0
R1,-150,0
800,0,0
802,400,0
806,700,0
808,1000,0
810,1000,-800
812,1300,0
814,1600,0
850,2500,0
816,2900,0
R2a,2900,350
818,2900,400
R2b,2900,750
820,2900,800
822,2900,1100
R3,3150,0
824,3200,0
826,3500,0
828,3200,-1200
830,3700,-1200
854,4000,-1200
R4,4100,-1200
mid856,4200,-1200
856,4400,-1200
852,4000,-900
832,4000,-400
888,4700,-400
890,5000,-400
mid858,4000,-200
R5,4000,-100
858,4000,0
864,4000,400
834,4400,0
842,4400,400
844,4400,700
846,4400,1100
848,4400,1400
860,5000,0
mid836,5300,0
R6,5500,0
836,5600,0
840,6000,0
862,5600,-400
838,5600,-800
814r,2100,0
852r,4000,-600
